filename,error_type,inject_at_move,total_moves,original_move,corrupted_move,cascade_length,shift_starts_at
game_000049.pgn,1,32.0,67.0,Rac1,Nz5,,
game_000050.pgn,3,16.0,64.0,axb3,,,
game_000051.pgn,2,5.0,45.0,a6,a7,,
game_000052.pgn,3,37.0,56.0,Bd6,,,
game_000053.pgn,1,78.0,90.0,Kd4,Ka9,,
game_000054.pgn,2,16.0,39.0,Bg4,8g4,,
game_000055.pgn,1,42.0,56.0,Bxb5,Ka9,,
game_000056.pgn,4,14.0,98.0,Nd2,,83.0,14.0
game_000057.pgn,3,62.0,95.0,Qxb3,,,
game_000058.pgn,2,48.0,74.0,Bxf6,8xf6,,
game_000059.pgn,3,17.0,50.0,Nd4,,,
game_000060.pgn,2,32.0,60.0,Kh1,Xh1,,
game_000061.pgn,3,66.0,96.0,Rc7,,,
game_000062.pgn,3,27.0,52.0,Nxc4,,,
game_000063.pgn,4,15.0,47.0,Bxb5,,31.0,15.0
game_000064.pgn,1,11.0,98.0,f6,Qа9,,
game_000065.pgn,3,38.0,76.0,Nxd5,,,
game_000066.pgn,2,13.0,62.0,exf3,exf4,,
game_000067.pgn,4,37.0,64.0,f5,,26.0,37.0
game_000068.pgn,2,32.0,38.0,Qh4,Oh4,,
game_000069.pgn,1,47.0,70.0,Nxb1,Ka9,,
game_000070.pgn,4,51.0,79.0,Qxh3,,27.0,51.0
game_000071.pgn,4,14.0,36.0,Bxf6,,21.0,14.0
game_000072.pgn,2,37.0,63.0,Nd5,Md5,,
game_000073.pgn,4,10.0,33.0,O-O,,22.0,10.0
game_000074.pgn,1,5.0,95.0,Nc6,Ka9,,
game_000075.pgn,4,13.0,58.0,Bxf3,,44.0,13.0
game_000076.pgn,2,26.0,70.0,dxe4,dxe5,,
game_000077.pgn,2,29.0,61.0,Nxc4,Mxc4,,
game_000078.pgn,1,7.0,41.0,Qc7,Qа9,,
game_000079.pgn,1,22.0,73.0,Bb3,Qh8,,
game_000080.pgn,3,17.0,57.0,Nf6,,,
game_000081.pgn,4,15.0,57.0,Na5,,41.0,15.0
game_000082.pgn,1,21.0,45.0,f5,Qh8,,
game_000083.pgn,1,32.0,36.0,O-O,Qh8,,
game_000084.pgn,1,54.0,62.0,Qa5,Rb9,,
game_000085.pgn,4,19.0,48.0,O-O-O,,28.0,19.0
game_000086.pgn,4,75.0,87.0,Kf6,,11.0,75.0
game_000087.pgn,4,43.0,85.0,Ke7,,41.0,43.0
game_000088.pgn,1,14.0,29.0,bxc3,Bh9,,
game_000089.pgn,1,14.0,20.0,Bd2,Nz5,,
game_000090.pgn,2,7.0,40.0,e5,e6,,
game_000091.pgn,2,27.0,46.0,Bb4+,8b4+,,
game_000092.pgn,2,5.0,51.0,f5,f6,,
game_000093.pgn,4,34.0,63.0,Be2,,28.0,34.0
game_000094.pgn,3,23.0,36.0,Bxg2,,,
game_000095.pgn,2,17.0,50.0,bxc6,bxc7,,
game_000096.pgn,3,14.0,40.0,Nf3,,,
game_000097.pgn,4,28.0,47.0,cxd5,,18.0,28.0
game_000098.pgn,3,14.0,80.0,e3,,,
game_000099.pgn,2,14.0,42.0,dxe5,dxe6,,
game_000100.pgn,1,9.0,55.0,bxc6,Rb9,,
game_000101.pgn,1,34.0,42.0,Kc3,Bh9,,
game_000102.pgn,4,30.0,43.0,Rxf8+,,12.0,30.0
game_000103.pgn,2,59.0,90.0,Rxc5,Pxc5,,
game_000104.pgn,3,31.0,50.0,Qxd4,,,
game_000105.pgn,4,37.0,81.0,Ne7,,43.0,37.0
game_000106.pgn,3,19.0,99.0,O-O,,,
game_000107.pgn,1,15.0,64.0,d5,Ka9,,
game_000108.pgn,4,4.0,34.0,e3,,29.0,4.0
game_000109.pgn,4,56.0,61.0,Rxh1,,4.0,56.0
game_000110.pgn,2,21.0,41.0,Qd7,Od7,,
game_000111.pgn,1,12.0,27.0,e3,Qh8,,
game_000112.pgn,4,11.0,68.0,f6,,56.0,11.0
game_000113.pgn,3,47.0,58.0,Rxd1,,,
game_000114.pgn,1,15.0,60.0,Bd6,Qа9,,
game_000115.pgn,4,28.0,33.0,Qe2,,4.0,28.0
game_000116.pgn,1,55.0,62.0,Rh8,Qа9,,
game_000117.pgn,4,4.0,38.0,Nc3,,33.0,4.0
game_000118.pgn,3,45.0,63.0,b4,,,
game_000119.pgn,4,31.0,47.0,Ke8,,15.0,31.0
game_000120.pgn,1,71.0,94.0,axb4+,Qа9,,
game_000121.pgn,4,51.0,63.0,Nxf5,,11.0,51.0
game_000122.pgn,4,24.0,49.0,dxe5,,24.0,24.0
game_000123.pgn,2,15.0,44.0,Bb7,8b7,,
game_000124.pgn,4,7.0,48.0,Qd8,,40.0,7.0
game_000125.pgn,4,49.0,56.0,h5,,6.0,49.0
game_000126.pgn,4,20.0,37.0,a3,,16.0,20.0
game_000127.pgn,2,23.0,63.0,Nh5,Mh5,,
game_000128.pgn,4,16.0,68.0,h3,,51.0,16.0
game_000129.pgn,4,36.0,68.0,Rxd1,,31.0,36.0
game_000130.pgn,2,83.0,93.0,Ke4,Xe4,,
game_000131.pgn,1,14.0,23.0,Bd2,Nz5,,
game_000132.pgn,3,29.0,52.0,fxg2,,,
game_000133.pgn,2,4.0,45.0,f3,f4,,
game_000134.pgn,3,77.0,90.0,Kc6,,,
game_000135.pgn,2,27.0,37.0,Qe5+,Oe5+,,
game_000136.pgn,3,51.0,74.0,Bg6,,,
game_000137.pgn,4,25.0,34.0,Qxe5+,,8.0,25.0
game_000138.pgn,3,64.0,68.0,Kh1,,,
game_000139.pgn,1,38.0,74.0,fxg4,Bh9,,
game_000140.pgn,4,94.0,98.0,Qe2,,3.0,94.0
game_000141.pgn,2,46.0,74.0,Re1,Pe1,,
game_000142.pgn,4,22.0,67.0,Kxe2,,44.0,22.0
game_000143.pgn,2,27.0,43.0,Qxf6,Oxf6,,
game_000144.pgn,1,30.0,37.0,Qxb3,Rb9,,
game_000145.pgn,1,33.0,68.0,b5,Rb9,,
game_000146.pgn,1,8.0,41.0,Bg5,Ka9,,
game_000147.pgn,4,32.0,69.0,Bxd5,,36.0,32.0
game_000148.pgn,4,25.0,97.0,g5,,71.0,25.0
game_000149.pgn,4,15.0,92.0,h6,,76.0,15.0
game_000150.pgn,1,27.0,35.0,Ne7,Rb9,,
game_000151.pgn,4,15.0,44.0,e5,,28.0,15.0
game_000152.pgn,3,27.0,77.0,Qxf7,,,
game_000153.pgn,3,18.0,31.0,d5,,,
game_000154.pgn,4,6.0,90.0,Bc4,,83.0,6.0
game_000155.pgn,1,42.0,54.0,exd4,Bh9,,
game_000156.pgn,1,22.0,57.0,a5,Nz5,,
game_000157.pgn,2,30.0,48.0,Qe3,Oe3,,
game_000158.pgn,4,56.0,77.0,Rc6,,20.0,56.0
game_000159.pgn,1,25.0,73.0,Ne7,Bh9,,
game_000160.pgn,1,49.0,65.0,Nxd6,Ka9,,
game_000161.pgn,4,25.0,40.0,Rhe8,,14.0,25.0
game_000162.pgn,2,18.0,72.0,Nc3,Mc3,,
game_000163.pgn,2,50.0,54.0,Rxd7,Pxd7,,
game_000164.pgn,4,25.0,50.0,Bd7,,24.0,25.0
game_000165.pgn,1,33.0,37.0,Rd7,Nz5,,
game_000166.pgn,4,24.0,32.0,Rab1,,7.0,24.0
game_000167.pgn,4,14.0,25.0,bxc3,,10.0,14.0
game_000168.pgn,2,20.0,26.0,Ne4,Me4,,
game_000169.pgn,2,8.0,39.0,Ne2,Me2,,
game_000170.pgn,3,18.0,42.0,Nbd2,,,
game_000171.pgn,3,31.0,49.0,c6,,,
game_000172.pgn,3,16.0,46.0,cxd5,,,
game_000173.pgn,4,7.0,20.0,Nh6,,12.0,7.0
game_000174.pgn,4,35.0,89.0,Nh4,,53.0,35.0
game_000175.pgn,2,38.0,69.0,Qxd7,Oxd7,,
game_000176.pgn,3,14.0,36.0,Bd5,,,
game_000177.pgn,2,57.0,77.0,Kh8,Xh8,,
game_000178.pgn,2,16.0,65.0,O-O,0-O,,
game_000179.pgn,4,38.0,51.0,Bxe5,,12.0,38.0
game_000180.pgn,1,49.0,72.0,c5,Bh9,,
game_000181.pgn,4,13.0,45.0,Be7,,31.0,13.0
game_000182.pgn,1,18.0,77.0,exf5,Nz5,,
game_000183.pgn,2,4.0,50.0,Bc4,8c4,,
game_000184.pgn,4,46.0,80.0,c4,,33.0,46.0
game_000185.pgn,4,63.0,84.0,Ra8,,20.0,63.0
game_000186.pgn,1,18.0,46.0,O-O-O,Rb9,,
game_000187.pgn,2,37.0,68.0,Bh5,8h5,,
game_000188.pgn,3,4.0,57.0,Nf3,,,
game_000189.pgn,2,18.0,25.0,Ne5,Me5,,
game_000190.pgn,1,17.0,75.0,Bd7,Nz5,,
game_000191.pgn,2,44.0,68.0,Nc2,Mc2,,
game_000192.pgn,2,26.0,59.0,Ba5+,8a5+,,
game_000193.pgn,4,73.0,82.0,Rb2,,8.0,73.0
game_000194.pgn,2,18.0,43.0,Ne2,Me2,,
game_000195.pgn,1,30.0,45.0,fxg7,Bh9,,
game_000196.pgn,1,65.0,71.0,Qb1+,Ka9,,
game_000197.pgn,3,21.0,68.0,a5,,,
game_000198.pgn,2,11.0,25.0,Nd5,Md5,,
game_000199.pgn,4,17.0,67.0,fxg5,,49.0,17.0
game_000200.pgn,1,14.0,78.0,Be3,Nz5,,
game_000201.pgn,1,21.0,31.0,Qxd7,Ka9,,
game_000202.pgn,3,24.0,55.0,Bg5,,,
game_000203.pgn,1,13.0,22.0,Nxc6,Qа9,,
game_000204.pgn,2,32.0,46.0,dxe4,dxe5,,
game_000205.pgn,1,65.0,69.0,Kh7,Nz5,,
game_000206.pgn,2,49.0,55.0,Rxe4,Pxe4,,
game_000207.pgn,1,69.0,97.0,Qe3+,Qh8,,
game_000208.pgn,1,18.0,73.0,g3,Qh8,,
game_000209.pgn,3,15.0,54.0,Nc5,,,
game_000210.pgn,4,29.0,53.0,Nxe5,,23.0,29.0
game_000211.pgn,3,24.0,74.0,Qg5,,,
game_000212.pgn,4,15.0,70.0,Re8,,54.0,15.0
game_000213.pgn,1,7.0,82.0,e6,Rb9,,
game_000214.pgn,4,55.0,100.0,Rd2+,,44.0,55.0
game_000215.pgn,1,13.0,35.0,Qb6,Qh8,,
game_000216.pgn,4,32.0,42.0,f5,,9.0,32.0
game_000217.pgn,1,5.0,63.0,Nc6,Nz5,,
game_000218.pgn,4,35.0,42.0,Nd5,,6.0,35.0
game_000219.pgn,1,17.0,49.0,Qe7,Nz5,,
game_000220.pgn,1,51.0,57.0,dxc3,Bh9,,
game_000221.pgn,3,29.0,44.0,Bxd2,,,
game_000222.pgn,2,44.0,65.0,Kc2,Xc2,,
game_000223.pgn,4,42.0,89.0,Rad1,,46.0,42.0
game_000224.pgn,2,39.0,52.0,Nxc5,Mxc5,,
game_000225.pgn,1,15.0,44.0,Bg4,Qh8,,
game_000226.pgn,3,9.0,56.0,Nc6,,,
game_000227.pgn,4,31.0,35.0,Ne4,,3.0,31.0
game_000228.pgn,4,9.0,88.0,Bb4,,78.0,9.0
game_000229.pgn,3,19.0,45.0,Nxg5,,,
game_000230.pgn,3,11.0,52.0,g5,,,
game_000231.pgn,3,14.0,21.0,Nb3,,,
game_000232.pgn,4,9.0,47.0,exd4,,37.0,9.0
game_000233.pgn,1,22.0,43.0,a4,Nz5,,
game_000234.pgn,1,31.0,41.0,Bb7,Ka9,,
game_000235.pgn,2,26.0,79.0,Qe4,Oe4,,
game_000236.pgn,2,36.0,62.0,bxc5,bxc6,,
game_000237.pgn,3,12.0,25.0,Kh1,,,
game_000238.pgn,1,47.0,61.0,Bg4+,Qа9,,
game_000239.pgn,4,22.0,62.0,a3,,39.0,22.0
game_000240.pgn,2,76.0,92.0,Kb6,Xb6,,
game_000241.pgn,1,22.0,35.0,Qe4,Rb9,,
game_000242.pgn,2,25.0,31.0,Bb7,8b7,,
game_000243.pgn,2,50.0,64.0,f6,f7,,
game_000244.pgn,4,61.0,77.0,Rxd4,,15.0,61.0
game_000245.pgn,3,10.0,64.0,Ne5,,,
game_000246.pgn,1,12.0,39.0,Qf3,Qа9,,
game_000247.pgn,1,58.0,96.0,Kg7+,Bh9,,
game_000248.pgn,1,72.0,86.0,Rxh4,Ka9,,
game_000249.pgn,1,8.0,47.0,Kxd1,Bh9,,
game_000250.pgn,1,62.0,66.0,e5,Nz5,,
game_000251.pgn,2,25.0,77.0,f6,f7,,
game_000252.pgn,2,22.0,50.0,Bxf7+,8xf7+,,
game_000253.pgn,4,31.0,38.0,Qxd3,,6.0,31.0
game_000254.pgn,2,15.0,57.0,f6,f7,,
game_000255.pgn,3,26.0,63.0,e5,,,
game_000256.pgn,4,36.0,43.0,Rfe1,,6.0,36.0
game_000257.pgn,4,15.0,51.0,Bxf6,,35.0,15.0
game_000258.pgn,1,46.0,59.0,Nxh7,Rb9,,
game_000259.pgn,2,7.0,22.0,e5,e6,,
game_000260.pgn,3,17.0,37.0,Kd7,,,
game_000261.pgn,1,38.0,84.0,Qxc7,Nz5,,
game_000262.pgn,4,36.0,57.0,a4,,20.0,36.0
game_000263.pgn,1,62.0,97.0,Ke4,Bh9,,
game_000264.pgn,2,10.0,48.0,e3,e4,,
game_000265.pgn,4,9.0,96.0,Nd7,,86.0,9.0
game_000266.pgn,1,12.0,49.0,e4,Rb9,,
game_000267.pgn,2,35.0,43.0,Bb7,8b7,,
game_000268.pgn,4,8.0,38.0,c3,,29.0,8.0
game_000269.pgn,2,67.0,78.0,Qa4,Oa4,,
game_000270.pgn,2,29.0,82.0,Qxe5,Oxe5,,
game_000271.pgn,1,22.0,48.0,Bxf6,Rb9,,
game_000272.pgn,2,10.0,44.0,Nc2,Mc2,,
game_000273.pgn,1,32.0,98.0,Rxe1,Rb9,,
game_000274.pgn,1,47.0,51.0,Kf7,Qа9,,
game_000275.pgn,4,46.0,59.0,Rxe5,,12.0,46.0
game_000276.pgn,3,57.0,69.0,Ke4,,,
game_000277.pgn,1,18.0,57.0,Qxd7,Bh9,,
game_000278.pgn,3,23.0,44.0,cxd4,,,
game_000279.pgn,2,9.0,55.0,Qd5,Od5,,
game_000280.pgn,2,73.0,80.0,Re8,Pe8,,
game_000281.pgn,3,31.0,44.0,Rxf6,,,
game_000282.pgn,4,44.0,51.0,Qxe5+,,6.0,44.0
game_000283.pgn,2,40.0,58.0,Ne2,Me2,,
game_000284.pgn,2,24.0,34.0,Qc2,Oc2,,
game_000285.pgn,4,18.0,39.0,O-O,,20.0,18.0
game_000286.pgn,3,13.0,43.0,Bxc6,,,
game_000287.pgn,2,31.0,91.0,Nxe5,Mxe5,,
game_000288.pgn,3,4.0,98.0,Bc4,,,
game_000289.pgn,3,64.0,95.0,Rxc4,,,
game_000290.pgn,3,11.0,38.0,Nxe4,,,
game_000291.pgn,3,7.0,82.0,d6,,,
game_000292.pgn,2,13.0,42.0,bxc6,bxc7,,
game_000293.pgn,4,9.0,50.0,Bc5,,40.0,9.0
game_000294.pgn,3,36.0,57.0,Qd2,,,
game_000295.pgn,3,7.0,55.0,cxd4,,,
game_000296.pgn,3,14.0,21.0,Nf3,,,
game_000297.pgn,3,3.0,47.0,Nc6,,,
game_000298.pgn,2,31.0,56.0,a5,a6,,
game_000299.pgn,3,18.0,82.0,a4,,,
game_000300.pgn,1,35.0,62.0,h6,Qа9,,
game_000301.pgn,4,77.0,86.0,Qxd1+,,8.0,77.0
game_000302.pgn,2,30.0,37.0,Nxf6,Mxf6,,
game_000303.pgn,4,67.0,96.0,h6+,,28.0,67.0
game_000304.pgn,1,35.0,88.0,Qxc5,Rb9,,
game_000305.pgn,4,21.0,47.0,Ne7,,25.0,21.0
game_000306.pgn,4,45.0,61.0,Qe7,,15.0,45.0
game_000307.pgn,3,42.0,48.0,Rac1,,,
game_000308.pgn,1,62.0,96.0,Qg3,Rb9,,
game_000309.pgn,2,8.0,54.0,Nf3,Mf3,,
game_000310.pgn,1,51.0,66.0,c5,Ka9,,
game_000311.pgn,2,52.0,58.0,d6,d7,,
game_000312.pgn,1,22.0,78.0,Rb1,Qа9,,
game_000313.pgn,2,10.0,47.0,Bg5,8g5,,
game_000314.pgn,2,84.0,93.0,f7,f8,,
game_000315.pgn,1,11.0,47.0,Bxf3,Qh8,,
game_000316.pgn,2,22.0,48.0,O-O,0-O,,
game_000317.pgn,2,13.0,59.0,b5,b6,,
game_000318.pgn,1,93.0,100.0,Kb7,Qа9,,
game_000319.pgn,1,54.0,64.0,h4,Bh9,,
game_000320.pgn,1,8.0,38.0,Be2,Bh9,,
game_000321.pgn,2,30.0,92.0,Bg5,8g5,,
game_000322.pgn,2,20.0,91.0,Bb7,8b7,,
game_000323.pgn,4,86.0,97.0,Re1,,10.0,86.0
game_000324.pgn,1,31.0,55.0,Ne7,Rb9,,
game_000325.pgn,2,23.0,39.0,Nxc5,Mxc5,,
game_000326.pgn,3,29.0,40.0,Ng6,,,
game_000327.pgn,1,16.0,75.0,exd5,Ka9,,
game_000328.pgn,2,8.0,40.0,Nf3,Mf3,,
game_000329.pgn,3,53.0,61.0,Rb2,,,
game_000330.pgn,3,41.0,55.0,Rxe5,,,
game_000331.pgn,2,15.0,34.0,Bf6,8f6,,
game_000332.pgn,3,56.0,63.0,Qxc3,,,
game_000333.pgn,3,88.0,100.0,Ka6,,,
game_000334.pgn,4,49.0,55.0,c4,,5.0,49.0
game_000335.pgn,2,52.0,87.0,a4,a5,,
game_000336.pgn,4,45.0,51.0,Be6,,5.0,45.0
game_000337.pgn,4,31.0,45.0,Qg6,,13.0,31.0
game_000338.pgn,3,41.0,58.0,Qg6,,,
game_000339.pgn,1,67.0,74.0,Ra6,Qh8,,
game_000340.pgn,1,25.0,93.0,Nxa1,Ka9,,
game_000341.pgn,1,12.0,36.0,cxd4,Rb9,,
game_000342.pgn,1,8.0,24.0,c3,Ka9,,
game_000343.pgn,1,17.0,39.0,O-O,Ka9,,
game_000344.pgn,4,23.0,39.0,Qa5,,15.0,23.0
game_000345.pgn,3,6.0,55.0,Nxd4,,,
game_000346.pgn,4,29.0,65.0,g5,,35.0,29.0
game_000347.pgn,1,53.0,63.0,gxf4,Rb9,,
game_000348.pgn,3,14.0,32.0,Qxe2,,,
game_000349.pgn,4,10.0,95.0,Bc4,,84.0,10.0
game_000350.pgn,3,14.0,46.0,g4,,,
game_000351.pgn,1,27.0,47.0,Nc5,Nz5,,
game_000352.pgn,3,24.0,57.0,h3,,,
game_000353.pgn,4,31.0,44.0,exd4,,12.0,31.0
game_000354.pgn,4,39.0,77.0,Qe4,,37.0,39.0
game_000355.pgn,3,74.0,79.0,Kh3,,,
game_000356.pgn,3,70.0,86.0,f4,,,
game_000357.pgn,4,27.0,80.0,Ne8,,52.0,27.0
game_000358.pgn,1,14.0,39.0,Qe2,Nz5,,
game_000359.pgn,3,5.0,59.0,Nf6,,,
game_000360.pgn,1,23.0,63.0,Bb4,Rb9,,
game_000361.pgn,4,24.0,35.0,Bd3,,10.0,24.0
game_000362.pgn,2,8.0,94.0,bxc3,bxc4,,
game_000363.pgn,4,69.0,89.0,Nd6,,19.0,69.0
game_000364.pgn,1,18.0,53.0,d3,Ka9,,
game_000365.pgn,2,26.0,56.0,Nh2,Mh2,,
game_000366.pgn,4,23.0,73.0,Be6,,49.0,23.0
game_000367.pgn,3,24.0,42.0,Be3,,,
game_000368.pgn,1,14.0,25.0,Bb5,Nz5,,
game_000369.pgn,1,18.0,44.0,d4,Nz5,,
game_000370.pgn,1,56.0,63.0,Qf3,Qа9,,
game_000371.pgn,4,40.0,90.0,Nf3,,49.0,40.0
game_000372.pgn,2,4.0,39.0,Nf3,Mf3,,
game_000373.pgn,1,19.0,80.0,Bxb2,Ka9,,
game_000374.pgn,2,20.0,66.0,Qxb7,Oxb7,,
game_000375.pgn,1,6.0,61.0,e4,Ka9,,
game_000376.pgn,1,16.0,29.0,d5,Nz5,,
game_000377.pgn,1,25.0,71.0,Kxd8,Rb9,,
game_000378.pgn,1,40.0,45.0,Bxa6,Rb9,,
game_000379.pgn,4,25.0,31.0,Rac8,,5.0,25.0
game_000380.pgn,4,33.0,46.0,Kg8,,12.0,33.0
game_000381.pgn,3,59.0,97.0,Re6,,,
game_000382.pgn,4,71.0,95.0,Bxe2,,23.0,71.0
game_000383.pgn,1,56.0,68.0,c4,Rb9,,
game_000384.pgn,1,24.0,37.0,bxc3,Rb9,,
game_000385.pgn,2,3.0,41.0,d5,d6,,
game_000386.pgn,2,30.0,89.0,Bd3,8d3,,
game_000387.pgn,1,39.0,86.0,Qa5,Rb9,,
game_000388.pgn,1,31.0,55.0,c4,Qh8,,
game_000389.pgn,4,44.0,79.0,Bxd4,,34.0,44.0
game_000390.pgn,3,30.0,66.0,Be3,,,
game_000391.pgn,3,36.0,55.0,Bxd6,,,
game_000392.pgn,3,24.0,39.0,O-O,,,
game_000393.pgn,3,12.0,51.0,a3,,,
game_000394.pgn,4,15.0,60.0,d5,,44.0,15.0
game_000395.pgn,2,4.0,48.0,Nf3,Mf3,,
game_000396.pgn,2,6.0,26.0,d4,d5,,
game_000397.pgn,2,16.0,31.0,Nc3,Mc3,,
game_000398.pgn,3,51.0,72.0,Qe7,,,
game_000399.pgn,1,37.0,63.0,dxe5,Qh8,,
game_000400.pgn,4,3.0,56.0,Nf6,,52.0,3.0
game_000401.pgn,4,50.0,54.0,Rh2,,3.0,50.0
game_000402.pgn,3,32.0,96.0,Qxb4,,,
game_000403.pgn,4,9.0,20.0,f5,,10.0,9.0
game_000404.pgn,2,45.0,93.0,gxf6,gxf7,,
game_000405.pgn,4,9.0,67.0,a6,,57.0,9.0
game_000406.pgn,1,16.0,22.0,Bxf6,Ka9,,
game_000407.pgn,3,23.0,37.0,e5,,,
game_000408.pgn,4,11.0,51.0,a6,,39.0,11.0
game_000409.pgn,1,26.0,46.0,Rh3,Bh9,,
game_000410.pgn,1,44.0,55.0,h4,Rb9,,
game_000411.pgn,4,6.0,27.0,d4,,20.0,6.0
game_000412.pgn,2,21.0,43.0,a6,a7,,
game_000413.pgn,3,39.0,87.0,Rxc2,,,
game_000414.pgn,1,75.0,79.0,Bxg4,Bh9,,
game_000415.pgn,1,17.0,42.0,Ng4,Nz5,,
game_000416.pgn,2,12.0,75.0,Bg5,8g5,,
game_000417.pgn,2,16.0,27.0,O-O,0-O,,
game_000418.pgn,3,5.0,27.0,Nd4,,,
game_000419.pgn,1,16.0,64.0,c4,Ka9,,
game_000420.pgn,1,13.0,61.0,e6,Qа9,,
game_000421.pgn,4,33.0,40.0,Qd4,,6.0,33.0
game_000422.pgn,4,17.0,21.0,Kd6,,3.0,17.0
game_000423.pgn,3,74.0,100.0,Rb3,,,
game_000424.pgn,3,17.0,31.0,e6,,,
game_000425.pgn,1,11.0,77.0,c6,Qа9,,
game_000426.pgn,2,35.0,63.0,Qxe8,Oxe8,,
game_000427.pgn,1,27.0,33.0,Kd6,Bh9,,
game_000428.pgn,2,57.0,61.0,Qe3+,Oe3+,,
game_000429.pgn,1,18.0,49.0,Qd2,Qh8,,
game_000430.pgn,4,83.0,91.0,h3,,7.0,83.0
game_000431.pgn,2,6.0,79.0,g3,g4,,
game_000432.pgn,4,10.0,22.0,Ng5,,11.0,10.0
game_000433.pgn,2,55.0,72.0,Ne4,Me4,,
game_000434.pgn,2,11.0,38.0,h6,h7,,
game_000435.pgn,3,38.0,59.0,Qg4,,,
game_000436.pgn,4,53.0,61.0,Nxe2,,7.0,53.0
game_000437.pgn,1,30.0,41.0,Qf5+,Ka9,,
game_000438.pgn,4,60.0,69.0,Rd6+,,8.0,60.0
game_000439.pgn,4,74.0,85.0,Ree6,,10.0,74.0
game_000440.pgn,4,44.0,61.0,Qxh7,,16.0,44.0
game_000441.pgn,2,29.0,38.0,Qf6,Of6,,
game_000442.pgn,2,33.0,43.0,Bb7,8b7,,
game_000443.pgn,4,44.0,51.0,Qxe5,,6.0,44.0
game_000444.pgn,3,42.0,67.0,Qc2,,,
game_000445.pgn,3,12.0,43.0,Ne5,,,
game_000446.pgn,2,50.0,58.0,b5,b6,,
game_000447.pgn,2,3.0,44.0,f6,f7,,
game_000448.pgn,4,53.0,72.0,cxd6,,18.0,53.0
game_000449.pgn,2,64.0,70.0,Rh2,Ph2,,
game_000450.pgn,3,3.0,49.0,Qxd5,,,
game_000451.pgn,3,40.0,69.0,g3,,,
game_000452.pgn,3,61.0,73.0,h6,,,
game_000453.pgn,4,20.0,69.0,Bxh6,,48.0,20.0
game_000454.pgn,4,75.0,84.0,Rf3+,,8.0,75.0
game_000455.pgn,1,24.0,55.0,Nc2,Rb9,,
game_000456.pgn,3,9.0,43.0,O-O,,,
game_000457.pgn,1,7.0,74.0,d5,Qh8,,
game_000458.pgn,2,3.0,30.0,d6,d7,,
