filename,error_type,inject_at_move,total_moves,original_move,corrupted_move,cascade_length
game_000040.pgn,3,4,40,Bd5,Bd5,
game_000041.pgn,3,33,58,Rc8,Rc8,
game_000042.pgn,1,65,74,b4,Qа9,
game_000043.pgn,3,21,39,Qh6,Qh6,
game_000044.pgn,1,30,88,Bxd6,Qа9,
game_000045.pgn,1,5,27,Nf6,Ka9,
game_000046.pgn,3,7,53,d5,d5,
game_000047.pgn,3,33,68,Nf4,Nf4,
game_000048.pgn,4,26,53,fxe4,fxe4,26
game_000049.pgn,1,32,67,Rac1,Nz5,
game_000050.pgn,3,16,64,axb3,axb3,
game_000051.pgn,2,5,45,a6,a7,
game_000052.pgn,3,37,56,Bd6,Bd6,
game_000053.pgn,1,78,90,Kd4,Ka9,
game_000054.pgn,2,16,39,Bg4,8g4,
game_000055.pgn,1,42,56,Bxb5,Ka9,
game_000056.pgn,4,14,98,Nd2,Nd2,83
game_000057.pgn,3,62,95,Qxb3,Qxb3,
game_000058.pgn,2,48,74,Bxf6,8xf6,
game_000059.pgn,3,17,50,Nd4,Nd4,
game_000060.pgn,2,32,60,Kh1,Xh1,
game_000061.pgn,3,66,96,Rc7,Rc7,
game_000062.pgn,3,27,52,Nxc4,Nxc4,
game_000063.pgn,4,15,47,Bxb5,Bxb5,31
game_000064.pgn,1,11,98,f6,Qа9,
game_000065.pgn,3,38,76,Nxd5,Nxd5,
game_000066.pgn,2,13,62,exf3,exf4,
game_000067.pgn,4,37,64,f5,f5,26
game_000068.pgn,2,32,38,Qh4,Oh4,
game_000069.pgn,1,47,70,Nxb1,Ka9,
game_000070.pgn,4,51,79,Qxh3,Qxh3,27
game_000071.pgn,4,14,36,Bxf6,Bxf6,21
game_000072.pgn,2,37,63,Nd5,Md5,
game_000073.pgn,4,10,33,O-O,O-O,22
game_000074.pgn,1,5,95,Nc6,Ka9,
game_000075.pgn,4,13,58,Bxf3,Bxf3,44
game_000076.pgn,2,26,70,dxe4,dxe5,
game_000077.pgn,2,29,61,Nxc4,Mxc4,
game_000078.pgn,1,7,41,Qc7,Qа9,
game_000079.pgn,1,22,73,Bb3,Qh8,
game_000080.pgn,3,17,57,Nf6,Nf6,
game_000081.pgn,4,15,57,Na5,Na5,41
game_000082.pgn,1,21,45,f5,Qh8,
game_000083.pgn,1,32,36,O-O,Qh8,
game_000084.pgn,1,54,62,Qa5,Rb9,
game_000085.pgn,4,19,48,O-O-O,O-O-O,28
game_000086.pgn,4,75,87,Kf6,Kf6,11
game_000087.pgn,4,43,85,Ke7,Ke7,41
game_000088.pgn,1,14,29,bxc3,Bh9,
game_000089.pgn,1,14,20,Bd2,Nz5,
game_000090.pgn,2,7,40,e5,e6,
game_000091.pgn,2,27,46,Bb4+,8b4+,
game_000092.pgn,2,5,51,f5,f6,
game_000093.pgn,4,34,63,Be2,Be2,28
game_000094.pgn,3,23,36,Bxg2,Bxg2,
game_000095.pgn,2,17,50,bxc6,bxc7,
game_000096.pgn,3,14,40,Nf3,Nf3,
game_000097.pgn,4,28,47,cxd5,cxd5,18
game_000098.pgn,3,14,80,e3,e3,
game_000099.pgn,2,14,42,dxe5,dxe6,
game_000100.pgn,1,9,55,bxc6,Rb9,
game_000101.pgn,1,34,42,Kc3,Bh9,
game_000102.pgn,4,30,43,Rxf8+,Rxf8+,12
game_000103.pgn,2,59,90,Rxc5,Pxc5,
game_000104.pgn,3,31,50,Qxd4,Qxd4,
game_000105.pgn,4,37,81,Ne7,Ne7,43
game_000106.pgn,3,19,99,O-O,O-O,
game_000107.pgn,1,15,64,d5,Ka9,
game_000108.pgn,4,4,34,e3,e3,29
game_000109.pgn,4,56,61,Rxh1,Rxh1,4
game_000110.pgn,2,21,41,Qd7,Od7,
game_000111.pgn,1,12,27,e3,Qh8,
game_000112.pgn,4,11,68,f6,f6,56
game_000113.pgn,3,47,58,Rxd1,Rxd1,
game_000114.pgn,1,15,60,Bd6,Qа9,
game_000115.pgn,4,28,33,Qe2,Qe2,4
game_000116.pgn,1,55,62,Rh8,Qа9,
game_000117.pgn,4,4,38,Nc3,Nc3,33
game_000118.pgn,3,45,63,b4,b4,
game_000119.pgn,4,31,47,Ke8,Ke8,15
game_000120.pgn,1,71,94,axb4+,Qа9,
game_000121.pgn,4,51,63,Nxf5,Nxf5,11
game_000122.pgn,4,24,49,dxe5,dxe5,24
game_000123.pgn,2,15,44,Bb7,8b7,
game_000124.pgn,4,7,48,Qd8,Qd8,40
game_000125.pgn,4,49,56,h5,h5,6
game_000126.pgn,4,20,37,a3,a3,16
game_000127.pgn,2,23,63,Nh5,Mh5,
game_000128.pgn,4,16,68,h3,h3,51
game_000129.pgn,4,36,68,Rxd1,Rxd1,31
game_000130.pgn,2,83,93,Ke4,Xe4,
game_000131.pgn,1,14,23,Bd2,Nz5,
game_000132.pgn,3,29,52,fxg2,fxg2,
game_000133.pgn,2,4,45,f3,f4,
game_000134.pgn,3,77,90,Kc6,Kc6,
game_000135.pgn,2,27,37,Qe5+,Oe5+,
game_000136.pgn,3,51,74,Bg6,Bg6,
game_000137.pgn,4,25,34,Qxe5+,Qxe5+,8
game_000138.pgn,3,64,68,Kh1,Kh1,
game_000139.pgn,1,38,74,fxg4,Bh9,
game_000140.pgn,4,94,98,Qe2,Qe2,3
game_000141.pgn,2,46,74,Re1,Pe1,
game_000142.pgn,4,22,67,Kxe2,Kxe2,44
game_000143.pgn,2,27,43,Qxf6,Oxf6,
game_000144.pgn,1,30,37,Qxb3,Rb9,
game_000145.pgn,1,33,68,b5,Rb9,
game_000146.pgn,1,8,41,Bg5,Ka9,
game_000147.pgn,4,32,69,Bxd5,Bxd5,36
game_000148.pgn,4,25,97,g5,g5,71
game_000149.pgn,4,15,92,h6,h6,76
game_000150.pgn,1,27,35,Ne7,Rb9,
game_000151.pgn,4,15,44,e5,e5,28
game_000152.pgn,3,27,77,Qxf7,Qxf7,
game_000153.pgn,3,18,31,d5,d5,
game_000154.pgn,4,6,90,Bc4,Bc4,83
game_000155.pgn,1,42,54,exd4,Bh9,
game_000156.pgn,1,22,57,a5,Nz5,
game_000157.pgn,2,30,48,Qe3,Oe3,
game_000158.pgn,4,56,77,Rc6,Rc6,20
game_000159.pgn,1,25,73,Ne7,Bh9,
game_000160.pgn,1,49,65,Nxd6,Ka9,
game_000161.pgn,4,25,40,Rhe8,Rhe8,14
game_000162.pgn,2,18,72,Nc3,Mc3,
game_000163.pgn,2,50,54,Rxd7,Pxd7,
game_000164.pgn,4,25,50,Bd7,Bd7,24
game_000165.pgn,1,33,37,Rd7,Nz5,
game_000166.pgn,4,24,32,Rab1,Rab1,7
game_000167.pgn,4,14,25,bxc3,bxc3,10
game_000168.pgn,2,20,26,Ne4,Me4,
game_000169.pgn,2,8,39,Ne2,Me2,
game_000170.pgn,3,18,42,Nbd2,Nbd2,
game_000171.pgn,3,31,49,c6,c6,
game_000172.pgn,3,16,46,cxd5,cxd5,
game_000173.pgn,4,7,20,Nh6,Nh6,12
game_000174.pgn,4,35,89,Nh4,Nh4,53
game_000175.pgn,2,38,69,Qxd7,Oxd7,
game_000176.pgn,3,14,36,Bd5,Bd5,
game_000177.pgn,2,57,77,Kh8,Xh8,
game_000178.pgn,2,16,65,O-O,0-O,
game_000179.pgn,4,38,51,Bxe5,Bxe5,12
game_000180.pgn,1,49,72,c5,Bh9,
game_000181.pgn,4,13,45,Be7,Be7,31
game_000182.pgn,1,18,77,exf5,Nz5,
game_000183.pgn,2,4,50,Bc4,8c4,
game_000184.pgn,4,46,80,c4,c4,33
game_000185.pgn,4,63,84,Ra8,Ra8,20
game_000186.pgn,1,18,46,O-O-O,Rb9,
game_000187.pgn,2,37,68,Bh5,8h5,
game_000188.pgn,3,4,57,Nf3,Nf3,
game_000189.pgn,2,18,25,Ne5,Me5,
game_000190.pgn,1,17,75,Bd7,Nz5,
game_000191.pgn,2,44,68,Nc2,Mc2,
game_000192.pgn,2,26,59,Ba5+,8a5+,
game_000193.pgn,4,73,82,Rb2,Rb2,8
game_000194.pgn,2,18,43,Ne2,Me2,
game_000195.pgn,1,30,45,fxg7,Bh9,
game_000196.pgn,1,65,71,Qb1+,Ka9,
game_000197.pgn,3,21,68,a5,a5,
game_000198.pgn,2,11,25,Nd5,Md5,
game_000199.pgn,4,17,67,fxg5,fxg5,49
game_000200.pgn,1,14,78,Be3,Nz5,
game_000201.pgn,1,21,31,Qxd7,Ka9,
game_000202.pgn,3,24,55,Bg5,Bg5,
game_000203.pgn,1,13,22,Nxc6,Qа9,
game_000204.pgn,2,32,46,dxe4,dxe5,
game_000205.pgn,1,65,69,Kh7,Nz5,
game_000206.pgn,2,49,55,Rxe4,Pxe4,
game_000207.pgn,1,69,97,Qe3+,Qh8,
game_000208.pgn,1,18,73,g3,Qh8,
game_000209.pgn,3,15,54,Nc5,Nc5,
game_000210.pgn,4,29,53,Nxe5,Nxe5,23
game_000211.pgn,3,24,74,Qg5,Qg5,
game_000212.pgn,4,15,70,Re8,Re8,54
game_000213.pgn,1,7,82,e6,Rb9,
game_000214.pgn,4,55,100,Rd2+,Rd2+,44
game_000215.pgn,1,13,35,Qb6,Qh8,
game_000216.pgn,4,32,42,f5,f5,9
game_000217.pgn,1,5,63,Nc6,Nz5,
game_000218.pgn,4,35,42,Nd5,Nd5,6
game_000219.pgn,1,17,49,Qe7,Nz5,
game_000220.pgn,1,51,57,dxc3,Bh9,
game_000221.pgn,3,29,44,Bxd2,Bxd2,
game_000222.pgn,2,44,65,Kc2,Xc2,
game_000223.pgn,4,42,89,Rad1,Rad1,46
game_000224.pgn,2,39,52,Nxc5,Mxc5,
game_000225.pgn,1,15,44,Bg4,Qh8,
game_000226.pgn,3,9,56,Nc6,Nc6,
game_000227.pgn,4,31,35,Ne4,Ne4,3
game_000228.pgn,4,9,88,Bb4,Bb4,78
game_000229.pgn,3,19,45,Nxg5,Nxg5,
game_000230.pgn,3,11,52,g5,g5,
game_000231.pgn,3,14,21,Nb3,Nb3,
game_000232.pgn,4,9,47,exd4,exd4,37
game_000233.pgn,1,22,43,a4,Nz5,
game_000234.pgn,1,31,41,Bb7,Ka9,
game_000235.pgn,2,26,79,Qe4,Oe4,
game_000236.pgn,2,36,62,bxc5,bxc6,
game_000237.pgn,3,12,25,Kh1,Kh1,
game_000238.pgn,1,47,61,Bg4+,Qа9,
game_000239.pgn,4,22,62,a3,a3,39
game_000240.pgn,2,76,92,Kb6,Xb6,
game_000241.pgn,1,22,35,Qe4,Rb9,
game_000242.pgn,2,25,31,Bb7,8b7,
game_000243.pgn,2,50,64,f6,f7,
game_000244.pgn,4,61,77,Rxd4,Rxd4,15
game_000245.pgn,3,10,64,Ne5,Ne5,
game_000246.pgn,1,12,39,Qf3,Qа9,
game_000247.pgn,1,58,96,Kg7+,Bh9,
game_000248.pgn,1,72,86,Rxh4,Ka9,
game_000249.pgn,1,8,47,Kxd1,Bh9,
game_000250.pgn,1,62,66,e5,Nz5,
game_000251.pgn,2,25,77,f6,f7,
game_000252.pgn,2,22,50,Bxf7+,8xf7+,
game_000253.pgn,4,31,38,Qxd3,Qxd3,6
game_000254.pgn,2,15,57,f6,f7,
game_000255.pgn,3,26,63,e5,e5,
game_000256.pgn,4,36,43,Rfe1,Rfe1,6
game_000257.pgn,4,15,51,Bxf6,Bxf6,35
game_000258.pgn,1,46,59,Nxh7,Rb9,
game_000259.pgn,2,7,22,e5,e6,
game_000260.pgn,3,17,37,Kd7,Kd7,
game_000261.pgn,1,38,84,Qxc7,Nz5,
game_000262.pgn,4,36,57,a4,a4,20
game_000263.pgn,1,62,97,Ke4,Bh9,
game_000264.pgn,2,10,48,e3,e4,
game_000265.pgn,4,9,96,Nd7,Nd7,86
game_000266.pgn,1,12,49,e4,Rb9,
game_000267.pgn,2,35,43,Bb7,8b7,
game_000268.pgn,4,8,38,c3,c3,29
game_000269.pgn,2,67,78,Qa4,Oa4,
game_000270.pgn,2,29,82,Qxe5,Oxe5,
game_000271.pgn,1,22,48,Bxf6,Rb9,
game_000272.pgn,2,10,44,Nc2,Mc2,
game_000273.pgn,1,32,98,Rxe1,Rb9,
game_000274.pgn,1,47,51,Kf7,Qа9,
game_000275.pgn,4,46,59,Rxe5,Rxe5,12
game_000276.pgn,3,57,69,Ke4,Ke4,
game_000277.pgn,1,18,57,Qxd7,Bh9,
game_000278.pgn,3,23,44,cxd4,cxd4,
game_000279.pgn,2,9,55,Qd5,Od5,
game_000280.pgn,2,73,80,Re8,Pe8,
game_000281.pgn,3,31,44,Rxf6,Rxf6,
game_000282.pgn,4,44,51,Qxe5+,Qxe5+,6
game_000283.pgn,2,40,58,Ne2,Me2,
game_000284.pgn,2,24,34,Qc2,Oc2,
game_000285.pgn,4,18,39,O-O,O-O,20
game_000286.pgn,3,13,43,Bxc6,Bxc6,
game_000287.pgn,2,31,91,Nxe5,Mxe5,
game_000288.pgn,3,4,98,Bc4,Bc4,
game_000289.pgn,3,64,95,Rxc4,Rxc4,
game_000290.pgn,3,11,38,Nxe4,Nxe4,
game_000291.pgn,3,7,82,d6,d6,
game_000292.pgn,2,13,42,bxc6,bxc7,
game_000293.pgn,4,9,50,Bc5,Bc5,40
game_000294.pgn,3,36,57,Qd2,Qd2,
game_000295.pgn,3,7,55,cxd4,cxd4,
game_000296.pgn,3,14,21,Nf3,Nf3,
game_000297.pgn,3,3,47,Nc6,Nc6,
game_000298.pgn,2,31,56,a5,a6,
game_000299.pgn,3,18,82,a4,a4,
game_000300.pgn,1,35,62,h6,Qа9,
game_000301.pgn,4,77,86,Qxd1+,Qxd1+,8
game_000302.pgn,2,30,37,Nxf6,Mxf6,
game_000303.pgn,4,67,96,h6+,h6+,28
game_000304.pgn,1,35,88,Qxc5,Rb9,
game_000305.pgn,4,21,47,Ne7,Ne7,25
game_000306.pgn,4,45,61,Qe7,Qe7,15
game_000307.pgn,3,42,48,Rac1,Rac1,
game_000308.pgn,1,62,96,Qg3,Rb9,
game_000309.pgn,2,8,54,Nf3,Mf3,
game_000310.pgn,1,51,66,c5,Ka9,
game_000311.pgn,2,52,58,d6,d7,
game_000312.pgn,1,22,78,Rb1,Qа9,
game_000313.pgn,2,10,47,Bg5,8g5,
game_000314.pgn,2,84,93,f7,f8,
game_000315.pgn,1,11,47,Bxf3,Qh8,
game_000316.pgn,2,22,48,O-O,0-O,
game_000317.pgn,2,13,59,b5,b6,
game_000318.pgn,1,93,100,Kb7,Qа9,
game_000319.pgn,1,54,64,h4,Bh9,
game_000320.pgn,1,8,38,Be2,Bh9,
game_000321.pgn,2,30,92,Bg5,8g5,
game_000322.pgn,2,20,91,Bb7,8b7,
game_000323.pgn,4,86,97,Re1,Re1,10
game_000324.pgn,1,31,55,Ne7,Rb9,
game_000325.pgn,2,23,39,Nxc5,Mxc5,
game_000326.pgn,3,29,40,Ng6,Ng6,
game_000327.pgn,1,16,75,exd5,Ka9,
game_000328.pgn,2,8,40,Nf3,Mf3,
game_000329.pgn,3,53,61,Rb2,Rb2,
game_000330.pgn,3,41,55,Rxe5,Rxe5,
game_000331.pgn,2,15,34,Bf6,8f6,
game_000332.pgn,3,56,63,Qxc3,Qxc3,
game_000333.pgn,3,88,100,Ka6,Ka6,
game_000334.pgn,4,49,55,c4,c4,5
game_000335.pgn,2,52,87,a4,a5,
game_000336.pgn,4,45,51,Be6,Be6,5
game_000337.pgn,4,31,45,Qg6,Qg6,13
game_000338.pgn,3,41,58,Qg6,Qg6,
game_000339.pgn,1,67,74,Ra6,Qh8,
game_000340.pgn,1,25,93,Nxa1,Ka9,
game_000341.pgn,1,12,36,cxd4,Rb9,
game_000342.pgn,1,8,24,c3,Ka9,
game_000343.pgn,1,17,39,O-O,Ka9,
game_000344.pgn,4,23,39,Qa5,Qa5,15
game_000345.pgn,3,6,55,Nxd4,Nxd4,
game_000346.pgn,4,29,65,g5,g5,35
game_000347.pgn,1,53,63,gxf4,Rb9,
game_000348.pgn,3,14,32,Qxe2,Qxe2,
game_000349.pgn,4,10,95,Bc4,Bc4,84
game_000350.pgn,3,14,46,g4,g4,
game_000351.pgn,1,27,47,Nc5,Nz5,
game_000352.pgn,3,24,57,h3,h3,
game_000353.pgn,4,31,44,exd4,exd4,12
game_000354.pgn,4,39,77,Qe4,Qe4,37
game_000355.pgn,3,74,79,Kh3,Kh3,
game_000356.pgn,3,70,86,f4,f4,
game_000357.pgn,4,27,80,Ne8,Ne8,52
game_000358.pgn,1,14,39,Qe2,Nz5,
game_000359.pgn,3,5,59,Nf6,Nf6,
game_000360.pgn,1,23,63,Bb4,Rb9,
game_000361.pgn,4,24,35,Bd3,Bd3,10
game_000362.pgn,2,8,94,bxc3,bxc4,
game_000363.pgn,4,69,89,Nd6,Nd6,19
game_000364.pgn,1,18,53,d3,Ka9,
game_000365.pgn,2,26,56,Nh2,Mh2,
game_000366.pgn,4,23,73,Be6,Be6,49
game_000367.pgn,3,24,42,Be3,Be3,
game_000368.pgn,1,14,25,Bb5,Nz5,
game_000369.pgn,1,18,44,d4,Nz5,
game_000370.pgn,1,56,63,Qf3,Qа9,
game_000371.pgn,4,40,90,Nf3,Nf3,49
game_000372.pgn,2,4,39,Nf3,Mf3,
game_000373.pgn,1,19,80,Bxb2,Ka9,
game_000374.pgn,2,20,66,Qxb7,Oxb7,
game_000375.pgn,1,6,61,e4,Ka9,
game_000376.pgn,1,16,29,d5,Nz5,
game_000377.pgn,1,25,71,Kxd8,Rb9,
game_000378.pgn,1,40,45,Bxa6,Rb9,
game_000379.pgn,4,25,31,Rac8,Rac8,5
game_000380.pgn,4,33,46,Kg8,Kg8,12
game_000381.pgn,3,59,97,Re6,Re6,
game_000382.pgn,4,71,95,Bxe2,Bxe2,23
game_000383.pgn,1,56,68,c4,Rb9,
game_000384.pgn,1,24,37,bxc3,Rb9,
game_000385.pgn,2,3,41,d5,d6,
game_000386.pgn,2,30,89,Bd3,8d3,
game_000387.pgn,1,39,86,Qa5,Rb9,
game_000388.pgn,1,31,55,c4,Qh8,
game_000389.pgn,4,44,79,Bxd4,Bxd4,34
game_000390.pgn,3,30,66,Be3,Be3,
game_000391.pgn,3,36,55,Bxd6,Bxd6,
game_000392.pgn,3,24,39,O-O,O-O,
game_000393.pgn,3,12,51,a3,a3,
game_000394.pgn,4,15,60,d5,d5,44
game_000395.pgn,2,4,48,Nf3,Mf3,
game_000396.pgn,2,6,26,d4,d5,
game_000397.pgn,2,16,31,Nc3,Mc3,
game_000398.pgn,3,51,72,Qe7,Qe7,
game_000399.pgn,1,37,63,dxe5,Qh8,
game_000400.pgn,4,3,56,Nf6,Nf6,52
game_000401.pgn,4,50,54,Rh2,Rh2,3
game_000402.pgn,3,32,96,Qxb4,Qxb4,
game_000403.pgn,4,9,20,f5,f5,10
game_000404.pgn,2,45,93,gxf6,gxf7,
game_000405.pgn,4,9,67,a6,a6,57
game_000406.pgn,1,16,22,Bxf6,Ka9,
game_000407.pgn,3,23,37,e5,e5,
game_000408.pgn,4,11,51,a6,a6,39
game_000409.pgn,1,26,46,Rh3,Bh9,
game_000410.pgn,1,44,55,h4,Rb9,
game_000411.pgn,4,6,27,d4,d4,20
game_000412.pgn,2,21,43,a6,a7,
game_000413.pgn,3,39,87,Rxc2,Rxc2,
game_000414.pgn,1,75,79,Bxg4,Bh9,
game_000415.pgn,1,17,42,Ng4,Nz5,
game_000416.pgn,2,12,75,Bg5,8g5,
game_000417.pgn,2,16,27,O-O,0-O,
game_000418.pgn,3,5,27,Nd4,Nd4,
game_000419.pgn,1,16,64,c4,Ka9,
game_000420.pgn,1,13,61,e6,Qа9,
game_000421.pgn,4,33,40,Qd4,Qd4,6
game_000422.pgn,4,17,21,Kd6,Kd6,3
game_000423.pgn,3,74,100,Rb3,Rb3,
game_000424.pgn,3,17,31,e6,e6,
game_000425.pgn,1,11,77,c6,Qа9,
game_000426.pgn,2,35,63,Qxe8,Oxe8,
game_000427.pgn,1,27,33,Kd6,Bh9,
game_000428.pgn,2,57,61,Qe3+,Oe3+,
game_000429.pgn,1,18,49,Qd2,Qh8,
game_000430.pgn,4,83,91,h3,h3,7
game_000431.pgn,2,6,79,g3,g4,
game_000432.pgn,4,10,22,Ng5,Ng5,11
game_000433.pgn,2,55,72,Ne4,Me4,
game_000434.pgn,2,11,38,h6,h7,
game_000435.pgn,3,38,59,Qg4,Qg4,
game_000436.pgn,4,53,61,Nxe2,Nxe2,7
game_000437.pgn,1,30,41,Qf5+,Ka9,
game_000438.pgn,4,60,69,Rd6+,Rd6+,8
game_000439.pgn,4,74,85,Ree6,Ree6,10
game_000440.pgn,4,44,61,Qxh7,Qxh7,16
game_000441.pgn,2,29,38,Qf6,Of6,
game_000442.pgn,2,33,43,Bb7,8b7,
game_000443.pgn,4,44,51,Qxe5,Qxe5,6
game_000444.pgn,3,42,67,Qc2,Qc2,
game_000445.pgn,3,12,43,Ne5,Ne5,
game_000446.pgn,2,50,58,b5,b6,
game_000447.pgn,2,3,44,f6,f7,
game_000448.pgn,4,53,72,cxd6,cxd6,18
game_000449.pgn,2,64,70,Rh2,Ph2,
game_000450.pgn,3,3,49,Qxd5,Qxd5,
game_000451.pgn,3,40,69,g3,g3,
game_000452.pgn,3,61,73,h6,h6,
game_000453.pgn,4,20,69,Bxh6,Bxh6,48
game_000454.pgn,4,75,84,Rf3+,Rf3+,8
game_000455.pgn,1,24,55,Nc2,Rb9,
game_000456.pgn,3,9,43,O-O,O-O,
game_000457.pgn,1,7,74,d5,Qh8,
game_000458.pgn,2,3,30,d6,d7,
game_000459.pgn,1,39,44,Qg6,Bh9,
game_000460.pgn,3,17,23,Qd6,Qd6,
game_000461.pgn,1,53,58,Qc5+,Rb9,
game_000462.pgn,1,40,52,Nd5,Qа9,
game_000463.pgn,1,15,93,f6,Nz5,
game_000464.pgn,2,25,92,exf5,exf6,
game_000465.pgn,2,71,100,Re2+,Pe2+,
game_000466.pgn,1,56,78,Qg4,Rb9,
game_000467.pgn,4,55,91,Kxb8,Kxb8,35
game_000468.pgn,4,17,21,Bxf6,Bxf6,3
game_000469.pgn,3,40,73,Be4,Be4,
game_000470.pgn,4,26,85,O-O,O-O,58
game_000471.pgn,3,17,47,Bh7,Bh7,
game_000472.pgn,1,70,91,Rxe5,Bh9,
game_000473.pgn,3,7,41,exf3,exf3,
game_000474.pgn,4,31,51,h5,h5,19
game_000475.pgn,3,53,58,Qf3,Qf3,
game_000476.pgn,2,28,68,Bh6,8h6,
game_000477.pgn,2,19,58,Ne7,Me7,
game_000478.pgn,3,32,63,Re1,Re1,
game_000479.pgn,1,7,37,Bg4,Nz5,
game_000480.pgn,2,8,92,Nf3,Mf3,
game_000481.pgn,1,14,54,Nbd2,Rb9,
game_000482.pgn,1,31,49,a6,Rb9,
game_000483.pgn,4,29,88,f5,f5,58
game_000484.pgn,1,3,46,d5,Ka9,
game_000485.pgn,4,20,45,hxg6,hxg6,24
game_000486.pgn,3,6,44,e4,e4,
game_000487.pgn,3,23,51,Be6,Be6,
game_000488.pgn,3,4,21,f3,f3,
game_000489.pgn,1,4,74,Nf3,Ka9,
game_000490.pgn,1,4,52,d3,Ka9,
game_000491.pgn,4,63,75,Qxe3,Qxe3,11
game_000492.pgn,4,23,97,Ne5,Ne5,73
game_000493.pgn,4,55,62,Qb2,Qb2,6
game_000494.pgn,1,54,63,Qd3,Rb9,
game_000495.pgn,1,44,76,Qxe6,Qа9,
game_000496.pgn,3,41,56,Nf3+,Nf3+,
game_000497.pgn,1,16,46,Nxc6,Qа9,
game_000498.pgn,1,43,81,Qe7,Nz5,
game_000499.pgn,3,26,59,Rfe1,Rfe1,
game_000500.pgn,3,41,97,Rc8,Rc8,
game_000501.pgn,3,35,87,Nc6,Nc6,
game_000502.pgn,4,45,49,Re6,Re6,3
game_000503.pgn,4,27,64,Bxd2+,Bxd2+,36
game_000504.pgn,1,22,64,Be4,Bh9,
game_000505.pgn,2,28,46,Nc4,Mc4,
game_000506.pgn,4,45,55,h5,h5,9
game_000507.pgn,2,20,63,a4,a5,
game_000508.pgn,1,46,83,Bh4,Bh9,
game_000509.pgn,4,6,58,Nc3,Nc3,51
game_000510.pgn,1,4,38,Nc3,Qа9,
game_000511.pgn,1,3,45,d6,Nz5,
game_000512.pgn,4,21,85,b5,b5,63
game_000513.pgn,1,7,93,Bxf3,Nz5,
game_000514.pgn,4,66,85,Rd1,Rd1,18
game_000515.pgn,4,64,84,Kd2,Kd2,19
game_000516.pgn,3,8,34,Ba4,Ba4,
game_000517.pgn,1,22,38,Qxh8,Bh9,
game_000518.pgn,1,47,56,Nf5,Bh9,
game_000519.pgn,2,64,88,Kh3,Xh3,
game_000520.pgn,4,16,68,h3,h3,51
game_000521.pgn,3,16,23,Bxa8,Bxa8,
game_000522.pgn,1,47,67,axb3,Qа9,
game_000523.pgn,2,59,73,Kd5,Xd5,
game_000524.pgn,3,13,40,Nfd7,Nfd7,
game_000525.pgn,3,71,75,h5,h5,
game_000526.pgn,1,61,65,Qa1+,Ka9,
game_000527.pgn,4,20,41,Re1,Re1,20
game_000528.pgn,1,5,48,Bf5,Bh9,
game_000529.pgn,2,5,78,cxd4,cxd5,
game_000530.pgn,3,22,53,Nh4,Nh4,
game_000531.pgn,2,18,91,d3,d4,
game_000532.pgn,4,13,27,e6,e6,13
game_000533.pgn,2,22,55,Nfd2,Mfd2,
game_000534.pgn,3,39,45,Kc7,Kc7,
game_000535.pgn,2,8,68,Qxd4,Oxd4,
game_000536.pgn,3,6,54,O-O,O-O,
game_000537.pgn,4,18,57,Bb2,Bb2,38
game_000538.pgn,1,45,88,Ra7,Qа9,
game_000539.pgn,1,42,56,Kf3,Bh9,
